geo,text,user,user_location
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",kiko_arena,Villafranca de los Barros
,@ChakNorris93 Eres libre de tener tu opinión. Seguramente no es ni blanco ni negro. He tenido la oportunidad de fot… https://t.co/QtN9Kb8uzV,dublinsquirrel,"Dublín, Irlanda"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",EsPhotocreative,
,"RT @dgaviacion_: Inician vuelos de carga desde hacía el Aeropuerto General José Antonio Anzoátegui de Barcelona (VE) 🇻🇪 

Este primer vuelo…",Eumelix1,"Caracas, Venezuela"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",kkdvaca2018,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Stellatravesti,"Madrid, Comunidad de Madrid"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Path12216659,
,RT @ReginadelC: Y pues na’a que ya he llegao a Barcelona. Y que aquí todos se llaman José algo. Le he preguntao a José el del aeropuerto qu…,hpnadia,"PACHUCA, HGO, MEXICO"
,"Así captaron a el futbolista y a la colombiana en las inmediaciones del aeropuerto 😬

https://t.co/irVLZJbwW0",programa_hoy,Televisa San Ángel
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",el_bimbambum,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",PerezmolinaJ,Valencia
,@Aeropuerto_BCN Sabes algo del vueling que salía esta mañana hacia ORLY y que ha tenido que regresar a Barcelona?,Papitoaviador,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Player43395958,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",mipatria64,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",MNarrillos,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Richardo1956,en la ria de Vigo 
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",KedvesemF,"Alicante, Spain"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",LibertadLuisba,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",echerichiacoli,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",movimiento_vox,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Gusroca80,"Gijón, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Rafa7314,"La Haya, Holanda"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",VinaTibet,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",MariaJoseNorea3,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",carmen45794052,"Ondara, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",josedam12458970,"Barcelona, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",JoseLEstevezMa,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",CHUNITA76,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",eldelasbodas74,por la obra... #leonesp
,"RT @BAERVenezuela: #8Jun | ¡Venezuela Potencia! Con la articulación entre @BAERVenezuela y Gobierno Regional, se materializó el arribo del…",Alejand166y,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",carmendemiesp,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",esquemeparto16,"Valladolid, España"
,"RT @BAERVenezuela: #8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios de a…",Alejand166y,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",genaro7711,
,"Inician vuelos de carga desde hacía el Aeropuerto General José Antonio Anzoátegui de Barcelona (VE) 🇻🇪 

Este prime… https://t.co/Bt6GXdWzcV",dgaviacion_,Venezuela
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",mjferreiro18_m,
,"RT @BAERVenezuela: #8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios de a…",WilsonS43452196,"Trujillo, Venezuela"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",JulinRomero201,"Huélamo, Cuenca"
,"RT @BAERVenezuela: #8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios de a…",BoniaMeli,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",OlayoAlmudena,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Arriquitaun16,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",isval49,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",aralib,VENEZUELA
,"RT @BAERVenezuela: #8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios de a…",Aeropuertobna,"Anzoátegui, Venezuela"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",PabloPavlito,"Madrid, Comunidad de Madrid"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",mbosch28,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Anaponfe64,
,"RT @BAERVenezuela: #8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios de a…",AngelSa28397853,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",MdelCarmenCampo,
,"#8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios… https://t.co/J3YgOXEtVr",BAERVenezuela,"Caracas, Venezuela"
,"RT @BAERVenezuela: #8Jun | ¡Venezuela Potencia! Con la articulación entre @BAERVenezuela y Gobierno Regional, se materializó el arribo del…",Aeropuertobna,"Anzoátegui, Venezuela"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",dorib13,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",ngelJUSTICIERO2,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",papaolez69,Narnia.cat
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Luganofly,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",jimenezrey1972,"Sevilla, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Refesne,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",JuandelaCosa11,Entre Santoña y Turbaco.
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Carlos118881820,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",chebolico,a tope con....
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",loremediaremos,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",FerRPrieto,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Torrijamaldita,"Tarragona, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",FJoleaga,"Palma, en Mallorca"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",CansinoCUP,"CataluÑa, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",dedocrata,Río San Pedro
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Al_MM03,"Murcia, España "
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",jcsmlondon,"Madrid, Comunidad de Madrid"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",ma_elcuervo,España (Valencia)
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",juanaureliomart,"Cuenca, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",SusanaBlanca6,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",MonteLuz2,un poco aquí un poco allá
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",JuanyManuela1,Reino de España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",fimaau,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Soniague1,"Sevilla, España"
