geo,text,user,user_location
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",JcaS_ed,
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",moviriv,colombia
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",ObtenerUnYass,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,marcorazzi11,"Portland, OR"
,please someone pick me up at Barcelona Airport i'll b waiting there idc,UnhappyShi,reyna is in my basement ʚ✿ɞ
,I would book a hostel smack bang next to Barcelona airport for a 7 night trip. Gonna cost me abar 150 in taxis this holiday. Fuck off.,BeefHenchilada,"Liverpool, England"
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",ShakFran,
,"Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5. https://t.co/be5Jg568Ku",shakirastuff_,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,MTVdeluxe,
,"https://t.co/TH9Iph90iu
Ryanair launches flights to two new destinations from Newcastle Airport

Ryanair has put ne… https://t.co/2XeGSzArxy",GoldenOldiesRad,North East Yorkshire UK
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Edgardo82403445,Argentina
,I will fly to Barcelona and drive him to the airport. https://t.co/8erc6NSEj9,JiggaJenu,"Connecticut, USA"
,@RussellEngland @AntMcD7 @vivamjm “Duty Free” shops told ppl what you’ve just said. That was at request of U.K. Gov… https://t.co/TNXJTbE87g,jezobrien,"London, UK"
,Felt really odd having to queue up at 'others' Barcelona Airport passport control. The only ones complaining about… https://t.co/KYBnYMwEx6,br1mcg,Costa del Fylde
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,itsgerardpique,Georgia
,RT @JM_Simulation: Approach into Barcelona🇪🇸 #avgeek #AvGeek #aviation #MicrosoftFlightSimulator #Simbitworld #Airport @MSFSofficial @Asobo…,MohSkinner,"Agadir, Morocco"
,RT @BrendyBoyle: It’s not just Dublin airport that’s making a balls of passenger flow: Barajas Madrid and El Prat Barcelona having massive…,Aldamir,Minas Tirith
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Battlecat_Oscar,México City
,RT @JM_Simulation: Approach into Barcelona🇪🇸 #avgeek #AvGeek #aviation #MicrosoftFlightSimulator #Simbitworld #Airport @MSFSofficial @Asobo…,__Josh__19,"London, England"
,Approach into Barcelona🇪🇸 #avgeek #AvGeek #aviation #MicrosoftFlightSimulator #Simbitworld #Airport @MSFSofficial… https://t.co/WTZjwZKWXx,JM_Simulation,"London, England"
,"RT @NCLairport: ✈️BARCELONA IS BACK! We're delighted to announce flights to Barcelona are on sale now with @Ryanair from just £19.99*!

Ope…",marcus_f4518,"North East, England"
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",FoxiePunkFolk,Wherever I lay my hat 
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,ErrolWalker13,
,"@fanatics_uk Barcelona airport 2012, with Puyol no5 on it, €110. Get yersel tae f***!!!",GloriousTB,"Renfrew, Scotland"
,Flight Number #BA482 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,ShakFran,
